# TODO +back can be a useful feature for fine-grained consonantal place distinctions (Hall actually uses it!)
base    consonant   [+cons,-syl,-son,-cont,-delrel,-lat,-nas,-voi,-sg,-cg,-pharyngeal,-laryngeal,-cor,-dorsal,-lab,-hi,-lo,-back,-round,-velaric,-long]
aspiration  aspirated   [+sg]
sibilancy   sibilant    []
creakiness  creaky  [+cg]
release unreleased
release with-lateral-release
release with-mid-central-vowel-release
release with-nasal-release
ejection    ejective    [+cg]
place   alveolar    [+ant,+cor,-distr]   fricative||affricate:[+strid]
place   alveolo-palatal [+cor,-ant,+distr,+dorsal,+hi]
place   bilabial    [+lab]
place   dental  [+cor,+ant,+distr]
place   epiglottal  [+lo]  # TODO discuss!
place   glottal [+lo,+laryngeal]    stop:[+cg]
place   labial  [+lab]
place   linguolabial    [+cor,+ant,-distr,+lab]  # TODO maybe +distr?
place   labio-palatal   [+cor,-ant,+distr,+hi,+dorsal,+round]  # TODO does labio-... equal +round or +lab?
place   labio-velar [+round,+hi,+dorsal,+back]
place   labio-dental    [+lab]        fricative||affricate:[+strid]
place   palatal [+cor,-ant,+distr,+hi,+dorsal]  # TODO maybe palatal sounds should rather be -hi (opposed to palatal-velar)?
place   palatal-velar   [+cor,-ant,+distr,+hi,+dorsal,+back]  # Hall uses back for velar and uvular consonants
place   pharyngeal  [+pharyngeal,+lo,+back]
place   post-alveolar   [+cor,-ant,+distr]   fricative||affricate:[+strid]
place   retroflex   [+cor,-ant,-distr]   # TODO does Zsiga say anything about retroflexes? => no, check hall & discuss w Kellen
place   uvular  [+dorsal,+lo,+back]    fricative||affricate:[+strid]
place   velar   [+dorsal,+hi,+back]
pharyngealization   pharyngealized  [+pharyngeal]
voicing devoiced    [-voi]
voicing revoiced    [+voi]
nasalization    nasalized   [+nas]
preceding   pre-aspirated   [+sg]
preceding   pre-glottalized [+cg,+lo]   # TODO discuss +lo
preceding   pre-labialized  [+round,+hi,+dorsal]
preceding   pre-nasalized   [+nas]
preceding   pre-palatalized [+hi]
labialization   labialized  [+round,+hi,+dorsal,+back]
syllabicity syllabic    [+syl]
palatalization  labio-palatalized   [+round,+hi,+dorsal]    # TODO is the same as labialized...
palatalization  palatalized [+hi]
phonation   voiced  [+voi]
phonation   voiceless   [-voi]
duration    long    [+long]
duration    mid-long    [+long] # TODO or maybe not?
stress  primary-stress  []
stress  secondary-stress    []
laterality  lateral [+lat]
velarization    velarized   [+dorsal,+hi]
manner  affricate   [+delrel,-strid]
manner  approximant [+cont,+son]  !lateral:[-cons]
manner  click   [+velaric]
manner  fricative   [+cont,-strid]
manner  implosive
manner  nasal   [+nas,+son]
manner  nasal-click [+nas,+velaric]
manner  stop    []
manner  tap     # TODO ???
manner  trill   [+cont,+son]
laminality  apical  [-distr]
laminality  laminal [+distr]
articulation    strong  []
breathiness breathy [+sg]
glottalization  glottalized [+cg]   # TODO discuss +lo
raising lowered [+lo]
raising raised  [+hi]
relative_articulation   centralized
relative_articulation   mid-centralized
relative_articulation   advanced
relative_articulation   retracted
