ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	CONCEPT_ID	COGID	ROOTID	ALIGNMENT
41644	Bulgarian	April	април	apriɫ	a p r i lˠ		Balto-Slavic	465_april	618	13	a p r i lˠ - - - -
42868	Croatian	April	april	ǎpriːl	a p r iː l		Balto-Slavic	465_april	618	13	a p r iː l - - - -
42869	Croatian	April	travanj	trâːʋaɲ	t r aː ʋ a ɲ		Balto-Slavic	465_april	5029	6	t r aː ʋ a ɲ
44084	Slovene	April	apríl	apri˨ːl	a p r iː ² l		Balto-Slavic	465_april	618	13	a p r iː - - - ² l
45225	Slovak	April	apríl	apriːɫ	a p r iː lˠ		Balto-Slavic	465_april	618	13	a p r iː lˠ - - - -
46408	Czech	April	duben	dubɛn	d u b ɛ n		Balto-Slavic	465_april	5029	6	d - u b ɛ n
47535	Polish	April	kwiecień	kfiɛt͡ɕɛɲ	k f i ɛ tɕ ɛ ɲ		Balto-Slavic	465_april	1894	19	k f i ɛ tɕ ɛ ɲ
48635	Ukrainian	April	квітень	kvitɛnʲ	k v i t ɛ nʲ		Balto-Slavic	465_april	1894	19	k v i - t ɛ nʲ
49723	Belarusian	April	красавік	krasavik	k r a s a v i k		Balto-Slavic	465_april	1	1	k r a s a v i k
50781	Russian	April	апрель	ɐprʲeˑl	ɐ p rʲ eˑ l		Balto-Slavic	465_april	618	13	ɐ p rʲ eˑ l - - - -
51891	Lithuanian	April	balandis	bɐɫɐ̂nˑdʲɪs	b ɐ lˠ ɐ nˑ dʲ ɪ s		Balto-Slavic	465_april	1476	17	b ɐ lˠ ɐ nˑ dʲ ɪ s
53188	Latvian	April	aprīlis	ɑbriːlis	ɑ b r iː l i s		Balto-Slavic	465_april	618	13	ɑ b r iː l i s - -
54441	Icelandic	April	apríl	ɑpril	ɑ p r i l		Germanic	465_april	9066	13	ɑ - p r i - l
55596	Norwegian (Bokmål)	April	april	ɑpˈriːl	ɑ p r iː l		Germanic	465_april	9066	13	ɑ - p r iː - l
56733	Swedish	April	april	ɑːprɪl	ɑː p r ɪ l		Germanic	465_april	9066	13	ɑː - p r ɪ - l
57865	Danish	April	april	aˈpʁiːˀl	a p ʁ iː ʔ l		Germanic	465_april	9066	13	a - p ʁ iː ʔ l
58933	German	April	April	apʁiːl	a p ʁ iː l		Germanic	465_april	9066	13	a - p ʁ iː - l
60012	Dutch	April	april	ɑprɪl	ɑ p r ɪ l		Germanic	465_april	9066	13	ɑ - p r ɪ - l
61135	English	April	April	ˈeɪpɹəl	e ɪ p ɹ ə l		Germanic	465_april	9066	13	e ɪ p ɹ ə - l
62258	Irish	April	Aibreán	abʲɾʲaːn̪ˠ	a bʲ ɾʲ aː n̪ˠ		Celtic	465_april	6211	13	a bʲ ɾʲ aː n̪ˠ
63497	Welsh	April	Ebrill	ɛbrɪɬ	ɛ b r ɪ ɬ		Celtic	465_april	6211	13	ɛ b r ɪ ɬ
64614	Breton	April	Ebrel	ɛbʀɛl	ɛ b ʀ ɛ l		Celtic	465_april	6211	13	ɛ b ʀ ɛ l
65673	Latin	April	Aprilis	apriːɫɪs	a p r iː lˠ ɪ s		Italic	465_april	12720	13	a p r iː lˠ - ɪ s
66828	French	April	avril	aˈvʁil	a v ʁ i l		Italic	465_april	12720	13	a v ʁ i l - - -
68018	Catalan	April	abril	əβɾiɫ	ə β ɾ i lˠ		Italic	465_april	12720	13	ə β ɾ i lˠ - - -
69158	Spanish	April	abril	aβɾil	a β ɾ i l		Italic	465_april	12720	13	a β ɾ i l - - -
70398	Portuguese	April	Abril	ɐˈβriɫ	ɐ β r i lˠ		Italic	465_april	12720	13	ɐ β r i lˠ - - -
71644	Italian	April	aprile	aprile	a p r i l e		Italic	465_april	12720	13	a p r i l - e -
72925	Romanian	April	aprilie	aprilje	a p r i l j e		Italic	465_april	12720	13	a p r i l j e -
41648	Bulgarian	August	август	avɡust	a v g u s t		Balto-Slavic	469_august	2577	22	a v - g u s t -
42876	Croatian	August	august	ǎuɡust	a u g u s t		Balto-Slavic	469_august	2577	22	a - u g u s t -
42877	Croatian	August	kolovoz	kɔlɔ̌ʋɔz	k ɔ l ɔ ʋ ɔ z		Balto-Slavic	469_august	4743	48	k ɔ l ɔ ʋ ɔ z
44088	Slovene	August	avgúst	aʋɡu˨ːst	a ʋ g uː ² s t		Balto-Slavic	469_august	4635	43	a ʋ g uː ² s t
45229	Slovak	August	august	auɡust	a u g u s t		Balto-Slavic	469_august	2577	22	a - u g u s t -
46412	Czech	August	srpen	srpɛn	s r p ɛ n		Balto-Slavic	469_august	3198	25	s - r p - ɛ n
47539	Polish	August	sierpień	ɕɛɾpiɛɲ	ɕ ɛ ɾ p i ɛ ɲ		Balto-Slavic	469_august	3198	25	ɕ ɛ ɾ p i ɛ ɲ
48639	Ukrainian	August	серпень	sɛrpɛnʲ	s ɛ r p ɛ nʲ		Balto-Slavic	469_august	3198	25	s ɛ r p - ɛ nʲ
49728	Belarusian	August	жнівень	ʐnivʲɛnʲ	ʐ n i vʲ ɛ nʲ		Balto-Slavic	469_august	2120	20	ʐ n i vʲ ɛ nʲ
50785	Russian	August	август	aˑvɡust	aˑ v g u s t		Balto-Slavic	469_august	2577	22	aˑ v - g u s t -
51895	Lithuanian	August	rugpjūtis	rʊɡpjûːtʲɪs	r ʊ g p j uː tʲ ɪ s		Balto-Slavic	469_august	4497	36	r ʊ g p j uː tʲ ɪ s
53192	Latvian	August	augusts	au̯ɡusts	a u g u s t s		Balto-Slavic	469_august	2577	22	a - u g u s t s
54445	Icelandic	August	ágúst	ɑuɣustʰ	ɑ u ɣ u s tʰ		Germanic	469_august	10290	22	ɑ u ɣ u s tʰ - -
55600	Norwegian (Bokmål)	August	august	æʉˈɡʉst	æ ʉ g ʉ s t		Germanic	469_august	10290	22	æ ʉ g ʉ s t - -
